Student_ID,Name,Age,Gender,Location,Education_Level,Exam_Type,Malpractice_Type,Caught,Date
8f5c237e-0035-4e13-9d75-7c0b145997d5,David Welch,18,Male,Ibadan,High School,NECO,Collusion with other candidates,Yes,2025-05-27
63674197-3985-4cef-90af-4f765cfdb7c2,Michael Adams,17,Other,Kaduna,High School,WAEC,Cheating with electronic devices,Yes,2024-07-08
f17a1571-4507-4f6a-9d73-ce6877d1a71e,Timothy Green,22,Other,Lagos,Postgraduate,NECO,Use of external assistance,No,2024-04-04
f81dc639-21da-46c4-a3c6-b5e3347cf009,Derek Larson,22,Female,Ibadan,High School,NECO,Use of external assistance,No,2024-03-01
83b62f24-3d7f-4639-ac83-3426a8f91173,Sean Lam,25,Female,Kano,High School,JAMB,Cheating with electronic devices,Yes,2023-10-06
6cce3460-ceab-4620-9ecb-ad8a82bccd89,Ashley Wells,27,Male,Enugu,Undergraduate,Mock Exam,Impersonation,Yes,2024-01-10
f2d96000-ef0f-423b-9ad3-0394465c7d3a,Marie Lynn,29,Other,Abuja,Undergraduate,WAEC,Copying from neighbors,No,2024-05-26
b6cea267-7ed6-421b-b968-d516d5895f8a,Malik Lopez,26,Other,Port Harcourt,Postgraduate,WAEC,Cheating with electronic devices,Yes,2024-04-25
450d5f6e-a317-41fb-8143-58edb783ed91,Joe Patterson,24,Male,Port Harcourt,High School,University Exam,Impersonation,No,2024-04-30
71e8391c-5948-411b-a1d9-b286820488e7,Christine Orozco,26,Male,Enugu,Undergraduate,NECO,Use of external assistance,No,2024-12-30
a068d631-efed-41e4-bcc8-0e7d5b4551d0,Matthew Wells,17,Other,Kano,Postgraduate,NECO,Collusion with other candidates,No,2023-09-23
f3cb5a80-fdf2-42ee-9e6c-fe28145c225f,Samuel Martinez,27,Female,Port Harcourt,Postgraduate,JAMB,Falsification of results,Yes,2024-09-24
4bc4c249-359f-416b-955d-477388f95a89,James Marsh,22,Male,Enugu,Undergraduate,JAMB,Cheating with electronic devices,Yes,2023-12-14
2612bfdc-d9f3-4421-a653-c15a83f2249a,Kimberly Burton,25,Male,Benin,Undergraduate,University Exam,Collusion with other candidates,No,2024-08-17
